Número Objetivo,Número Contacto,Fecha de llamada,Hora de llamada,Duración de llamada,Cell ID,Latitude,longitude,Objetivo,Alias de objetivo,Origen,IF Tel
123456,77889966551,10/08/2017,19:24:03,00:20,334-20-5621-36363,,,,,SALIENTE,
123456,66332255881,10/08/2017,08:59:46,02:37,334-20-424-20052,,,,,SALIENTE,
123456,44112255881,10/08/2017,08:06:00,00:30,334-20-12056-31127,,,,,SALIENTE,
77889966551,123456,10/08/2017,09:06:05,00:51,334-20-21081-10113,,,,,ENTRANTE,
77889966551,123456,10/08/2017,17:59:33,00:42,334-20-11290-30172,,,,,ENTRANTE,
66332255881,123456,10/08/2017,07:18:24,02:07,334-20-12056-31127,,,,,ENTRANTE,
66332255881,123456,10/08/2017,09:21:06,02:57,334-20-12056-21899,,,,,ENTRANTE,
44112255881,123456,10/08/2017,10:03:12,09:04,334-20-12056-46349,,,,,ENTRANTE,
,,,,,,,,,,,
,,,,,,,,,,,
